id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,0,0,0,5,3,6,3,4,3,3,6,6,29,6,6,6,6,6,0,0,6,0,9,6,0,0,12
mh1,mh1,50.0,0,1,13,5,5,5,5,5,7,5,5,5,5,7,7,12,7,7,7,7,7,7,7,7,5,7,7,5,5,7
mh2,mh2,50.0,0,0,0,4,4,4,4,4,8,7,4,4,4,8,8,8,8,8,8,8,0,8,8,8,5,8,8,5,11,8
mh3,mh3,50.0,1,1,1,1,1,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,0,1
mh4,mh4,50.0,1,1,1,1,1,1,1,3,1,3,3,3,3,1,1,1,17,1,1,1,22,23,22,1,6,1,16,6,6,20
mnh0,mnh0,50.0,1,17,19,2,2,2,2,2,11,2,8,2,2,11,11,11,11,11,12,11,11,11,11,13,2,11,11,2,2,11
mnh1,mnh1,50.0,1,2,2,2,2,2,2,2,18,2,2,2,2,2,13,2,17,2,2,2,19,24,19,2,2,2,2,2,2,2
mnh2,mnh2,50.0,1,1,1,4,4,4,4,4,4,4,4,4,4,19,9,4,4,4,4,4,19,23,19,4,7,17,4,7,21,17
mnh3,mnh3,50.0,1,1,1,1,1,6,1,1,1,5,1,5,5,1,1,1,1,32,1,32,1,27,24,1,2,1,13,3,29,1
mnh4,mnh4,50.0,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,4,4,4,5,4,4,1,4,5,2,4,5,1,1,4
mnh5,mnh5,50.0,1,6,6,24,11,11,13,11,11,11,11,11,11,11,11,21,11,11,11,11,20,11,11,15,11,11,11,11,11,18
mnh6,mnh6,50.0,1,1,1,2,2,2,2,6,2,6,6,6,6,2,2,14,2,17,2,17,2,15,2,2,5,2,9,3,2,2
mnh7,mnh7,50.0,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,15,1,15,1,8,1,10,8,3,1
mnh8,mnh8,50.0,1,4,1,4,4,15,16,4,16,4,4,4,4,16,16,22,16,16,16,16,16,16,16,16,12,19,16,12,7,16
mnh9,mnh9,50.0,1,1,1,3,3,3,3,3,3,3,3,3,3,15,3,3,3,15,3,15,15,3,15,5,3,12,11,3,3,12
mnh10,mnh10,50.0,1,18,18,20,20,20,20,20,20,20,20,20,20,20,22,20,20,20,20,20,20,20,24,20,21,20,20,21,20,20
mnh11,mnh11,50.0,1,20,1,18,1,1,1,6,1,6,6,6,6,1,11,15,1,21,10,21,1,17,1,10,5,13,10,3,1,1
mnh12,mnh12,50.0,1,2,2,24,8,8,8,8,8,8,8,8,8,8,20,8,8,8,8,26,8,8,22,15,12,8,18,10,14,8
mnh13,mnh13,50.0,1,34,1,5,5,5,5,14,17,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,6,29,17,10,6,26
mnh14,mnh14,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,13,1,1,5,24,1,18,1,6,1,1,4,1,23,1
lpsh0,lpsh0,1.0,1,1/2,20,2,2,2,2,10,2,0/2,2,2,2,0,13,2,2,2,2,2/24,0,2,0,2,6,2,2,6,23,2
lpsh1,lpsh1,1.0,1,1,12,1,1,1,1,1,1,1,0/1,1,1,0/1,9,1,1,1,1,1,0/1,1,0/10,1,0,1,1,5,5/13,1
lpsh2,lpsh2,1.0,1,1,1,1,1,1,1,10,17,10,3,10,10,17,18,1,17,17,1,17,17,1,0/17/20,1,1,17,15,1,22,17
lpsh3,lpsh3,1.0,0,0,5,0,0,0,0,0,0,0,0,0,0,0/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lpsh4,lpsh4,1.0,1,2,1,1,1,1,1,1,7,1,4,1,1,7,7,7,0,7,0/8/10,7,13,1,7,8,1,7,8,1,1,7
lpsh5,lpsh5,1.0,6/7/8,1,1,11/12,11,11,11,24,11,24,22,24,24,11,0,27,11,11,11,11,11,11,11,11,11,26,11,19,36,26
lpsh6,lpsh6,1.0,0,1,1,1,1,1,1,1,1,1,1/13,1,1,1,1,1,1,1,0,1,1,1,1,1,11,1,1,11,1,1
lpsh7,lpsh7,1.0,1,0,0,27,0,0,0,0,0,0,0,0,0,20,0,0,0,31,0,31,0/22,25,20,0,11,0,0,11,29,19
lpsnh0,lpsnh0,1.0,1,13,1,3,3,3,3,6,3,6,6/7,6,6,3,8,3,3,3,3,3,3,15,3,3,5,3,3,5,3,3
lpsnh1,lpsnh1,1.0,1,1,1,1,13,13,1,1,1,1,1,1,1/12,1,1/14,1,1,1,1,1,1,20,1,1,2,1/17/15,1,5,23,1
lpsnh2,lpsnh2,1.0,1/2,1,1,1/35/4,1,1,1,23,25,23,24,23,23,25,25,25,25,39/25/41,27,40,25,38,25,27,9,25,30/31,9,5,25
lpsnh3,lpsnh3,1.0,1,4,3,3,3,3,3,3,7,3,3,3,3,7,7,13,7,18/7,7,18/7,7,3/19,7,7,5,7,8,5,17,11
