id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,41,1,1,1,17,1,19,17,1,15,1,1,1,16,15,1,13,39,1,1,4,9,9,9,1,42,1,21,41
mh1,mh1,50.0,1,18,1,1,1,1,1,1,1,12,1,1,12,1,1,1,1,1,1,14,9,10,1,1,22,0,0,14,1,1
mh2,mh2,50.0,2,24,1,1,1,2,2,2,2,2,2,2,2,2,2,0,6,16,18,2,9,6,20,11,2,22,2,2,2,24
mh3,mh3,50.0,4,1,1,1,1,1,7,1,1,1,1,8,1,4,1,1,0,4,13,6,0,0,0,14,4,4,4,1,1,1
mh4,mh4,50.0,0,1,1,1,1,1,1,16,1,1,8,13,1,0,11,8,1,1,1,6,1,3,1,1,1,1,1,1,1,1
mnh0,mnh0,50.0,1,15,1,1,1,1,1,1,15,10,1,13,10,5,13,1,1,8,15,11,1,2,18,18,16,5,5,11,15,15
mnh1,mnh1,50.0,6,19,1,17,17,15,1,15,15,1,9,12,1,1,13,9,3,6,15,1,3,1,1,1,1,5,20,1,15,15
mnh2,mnh2,50.0,21,36,1,1,1,1,1,30,1,1,1,1,1,3,1,28,3,24,1,26,13,14,16,16,34,31,3,1,1,38
mnh3,mnh3,50.0,10,41,1,1,1,1,1,38,1,13,1,37,1,1,37,36,2,12,43,23,7,8,1,1,46,45,1,33,41,41
mnh4,mnh4,50.0,16,32,1,1,33,32,3,32,32,25,3,3,30,3,3,3,10,20,32,28,9,3,3,3,35,3,3,28,32,39
mnh5,mnh5,50.0,1,33,1,1,1,1,17,18,1,1,17,17,1,1,17,17,1,1,23,12,1,6,25,1,1,27,1,9,22,28
mnh6,mnh6,50.0,23,56,1,1,45,41,1,41,41,1,1,40,35,1,1,38,1,34,44,36,5,1,1,47,1,10,1,36,41,48
mnh7,mnh7,50.0,5,1,19,18,18,16,9,16,17,1,10,1,1,1,1,12,1,6,1,7,3,1,4,4,21,1,1,7,1,1
mnh8,mnh8,50.0,21,1,1,1,1,1,1,1,1,1,27,26,1,1,29,27,1,1,1,1,8,1,10,10,10,11,1,1,1,1
mnh9,mnh9,50.0,13,63,1,1,1,1,38,1,1,1,1,39,37,1,39,1,1,1,42,36,6,9,45,1,1,11,1,36,1,1
mnh10,mnh10,50.0,2,17,1,1,1,15,12,1,1,1,12,12,9,2,12,13,2,2,18,9,4,2,2,2,2,2,2,9,19,21
mnh11,mnh11,50.0,13,28,1,1,1,21,1,20,23,1,19,1,1,1,1,19,1,14,22,16,1,3,6,6,1,9,1,1,22,22
mnh12,mnh12,50.0,9,35,1,1,1,1,18,1,24,10,18,18,17,8,18,18,3,9,31,15,3,3,6,6,6,42,7,16,31,35
mnh13,mnh13,50.0,26,42,1,1,1,41,1,41,41,1,39,40,1,9,39,39,3,3,42,30,6,3,3,3,3,48,3,35,42,49
mnh14,mnh14,50.0,12,43,1,34,34,1,1,30,1,1,26,1,1,6,1,28,3,20,1,24,3,2,6,38,6,9,45,1,1,1
lpsh0,lpsh0,1.0,0,0,1,1,0,0,0,0/16,20,0,0,14,0,0,0,0,7,8,20/21,0,7,7,0,0,0,25,0,0,21/22/23,20
