id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,1,1,1,17,26,26,0,5,5,5,5,11,5,5,5,5,0,5,15,0,5,0,5,14,29,14
mh1,mh1,50.0,1,1,1,1,1,4,1,4,13,4,4,4,4,4,4,5,5,6,5,5,4,6,4,4,4,4,6,4,4,4
mh2,mh2,50.0,1,1,1,2,3,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,17,0,0,26,0
mh3,mh3,50.0,1,1,1,4,5,1,1,1,21,21,1,9,9,9,15,1,1,13,1,1,9,13,15,16,20,12,14,16,16,16
mh4,mh4,50.0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,14,0,8,0,8,8,0,9,14,0,0,0,12,0,27,0
mnh0,mnh0,50.0,1,1,1,4,1,1,26,21,1,1,1,1,1,1,19,1,1,14,1,1,12,14,19,1,19,13,14,1,1,18
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1
mnh2,mnh2,50.0,1,1,1,2,1,4,1,4,1,29,4,21,11,11,4,7,7,11,7,7,11,18,4,4,4,11,20,4,35,25
mnh3,mnh3,50.0,1,1,1,1,3,1,1,1,44,44,1,1,1,1,1,1,1,1,1,1,6,1,15,1,42,1,1,1,1,1
mnh4,mnh4,50.0,1,1,14,1,1,1,15,1,1,1,1,1,11,11,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1
mnh5,mnh5,50.0,1,1,16,5,6,1,17,9,1,1,9,9,9,9,9,9,9,12,9,9,9,12,9,14,9,9,12,14,24,14
mnh6,mnh6,50.0,1,1,1,1,1,1,1,1,1,1,5,1,17,11,1,1,1,11,1,1,11,11,19,1,22,11,11,1,1,1
mnh7,mnh7,50.0,1,1,2,1,1,4,15,4,4,4,4,10,4,4,13,4,4,4,4,4,6,4,4,11,4,8,4,11,11,12
mnh8,mnh8,50.0,1,2,12,3,10,12,28,12,12,12,12,12,18,18,25,12,12,12,12,12,16,12,25,29,25,20,12,23,29,23
mnh9,mnh9,50.0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,8,8,1,8,8,1,1,15,16,1,1,1,9,18,11
mnh10,mnh10,50.0,1,1,1,2,1,10,1,3,3,3,6,3,7,7,3,3,3,7,3,3,7,9,3,11,3,7,7,3,11,3
mnh11,mnh11,50.0,1,1,21,1,1,1,27,1,18,18,1,4,4,4,7,3,3,4,3,3,4,4,14,7,7,4,4,7,29,7
mnh12,mnh12,50.0,1,1,18,2,1,7,18,7,1,1,7,7,7,7,7,7,7,7,8,7,7,7,7,13,15,10,7,14,21,13
mnh13,mnh13,50.0,1,1,1,2,5,1,24,1,1,1,10,1,1,1,1,1,1,28,1,1,12,1,1,1,1,13,1,26,1,18
mnh14,mnh14,50.0,1,3,1,1,3,1,23,9,21,21,9,15,9,9,9,9,9,9,9,9,9,12,9,9,9,9,13,9,29,9
lpsh0,lpsh0,1.0,1,1,20,1,1,3,20,3,3,3,3,3/11,3,3,3,3,3,3,3,3,9,3,3,13,18/3,10,3,13,0,13
lpsh1,lpsh1,1.0,1,1,1,1,1,1/2,1,2,1,1,0/4/5,1,0/1/7,0/1/7,1,6,1,1/18,1,1,1,1,1,1,17,9,1,1,19,1
lpsh2,lpsh2,1.0,0,1,0,1,0/1/3,0,0,0,0,0,9/10,0,46,46,58/46,43,43/44,46,44,44,46,46,46,56,59,46,46,60,56,56
lpsh3,lpsh3,1.0,1,1,1,1,1/2,1,1,1,1,1,3,1,5,5,1,1,1,1,1,1,1,1,1,10,0,1,1,11,10,10
lpsh4,lpsh4,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1/9,1,1,13,1,1
lpsh5,lpsh5,1.0,0,0,0,1,0,0,27,4,0,0/26,0,0,0,0,0,10/11,12,0,12,12,0,15,0/24,20,0,13/14,15,20,20,22
lpsh6,lpsh6,1.0,0,0,13,1,0,13,13,13,13,13,13,13,15,15,13,13,13,15,13,13,0,18,13,13,20/21/13,15,18,13,22,13
lpsh7,lpsh7,1.0,1,2,4,0/1,1,4,4/11,4,4,4,4,4,4,4,4,4/7,4,4,4,4,4,4,4,16,4,4,4,14,15,4
lpsnh0,lpsnh0,1.0,1,1,1,1,3,1,19,1,1/13/14,16/17,1,1/9,1,1,1,1,1,1,1,1/6,1,1,1,1,1,1,1/7,1,21,1
lpsnh1,lpsnh1,1.0,1,1,1,1,3,11,1/21,11,11,11,11,16/11,11,11,11,11,11,11,11,11,11,11,11,17,19/11,11,11,17,17,17
lpsnh2,lpsnh2,1.0,1,4,8,3,7,11,56,11,49,50,15,20,20/23,20/23,12,12,12,20/44,12,12,20/22,20,12,58/12,12,42,43,47,61,12
lpsnh3,lpsnh3,1.0,1,1,1,1,2,1,14,4,1/11,1,4,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,7/9,16,21,10
lpsnh4,lpsnh4,1.0,1,1,1,1,2,1,1,1/3,1,40,6,23,3/4,3/4,3,4,4,3/4,4,4/14,16/15,3,3,3/41,35,4,3,3,42,3
lpsnh5,lpsnh5,1.0,1,1,1,1,1,5,25,5,5,5,5,5,5,5,5,5,5,8,5,5,5,8,5,27,16/19,7,13,5,27,5
lpsnh6,lpsnh6,1.0,1,1,1,1,1,8,1,1,9,1,1,1,1,1,6,1,1,1,1,1,1,1,6,3,6,1,1,3/11,12,3
lpsnh7,lpsnh7,1.0,1,1,31,1/2,4/5,1,31,1,1,29,11,1,1/13,1/13,1,1,1,14,1,1,1,14,24,19,26,1,16,32/19,19,19
lpsnh8,lpsnh8,1.0,1,2,1,2,2/3,1,1,1,1,1,1,1,5,5,1,1,1,7/9,1,1,5,7/9,1,11,16,5,9,11,11,11
lpsnh9,lpsnh9,1.0,1,1,1,1,10,1,1/79,12/15,1,75/77,12,15,21,21,68,17/15,15,21,15,15,21,21,15,66/82,15,38,21,66,84,66
lpsnh10,lpsnh10,1.0,1,1/2/3,34,1,2/4,31,34,6/7,5,6,9,10,10,10,15,10,10,10/12,10,10,10,10/12,15,18,27/30,10,12,38,18,16
lpsnh11,lpsnh11,1.0,1,1,6,2,1,7,6/23,8,21,8,8,16,12,12,17/8,8,8/9,8,8,8,8,8,8,8,19/8,8,8,24,8,8
lpsnh12,lpsnh12,1.0,1/2/3,1/4,1,1,4,20,1,1,21,21,5,1,9,9/10,9/15,1,1,9,1,1,1,9/13,18,24,9,9,9,1,24,1
lpsnh13,lpsnh13,1.0,1,1,19,1,4,1,19,1,13,1,1,1,5/6,5/6,1,1,1,5,1,1,5,5,1,20,1,5,8,1,20,1
lpsnh14,lpsnh14,1.0,1,2/3,1,1,2,1,1/19,1,1,18,1,1,1,1,11,1,1/5,1,5,5,1,1,15,1,11,1,1,1,1,1
lpsnh15,lpsnh15,1.0,1,1,1,1,1,4,1,4,18/4,19,7,4,4,4,6,4,4/6,4,4/6,4/6,4,9,13,6,15,4,4/9,6,6,6
lpsnh16,lpsnh16,1.0,1,5,1,5,8,15,1,15,32,32,16,23,23,23,25,17,16,23,16,16,23,23,27,16,31,23,23,16/34/35,36,25
lpsnh17,lpsnh17,1.0,1,1,4,2,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5/11,5,14,5,5,9,5,5
