id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,21,1,1,1,1,4,1,8,1,23,23,1,1,6,0,9,23,1,1,1,12,1,0,17,1,0
mh1,mh1,50.0,1,1,13,1,1,1,1,16,1,1,14,1,1,14,14,1,5,5,5,6,14,14,1,1,0,1,1,1,1,10
mh2,mh2,50.0,1,1,12,2,1,0,1,0,1,1,16,17,1,1,1,1,4,7,4,1,1,1,0,19,1,9,9,9,9,10
mh3,mh3,50.0,1,1,8,1,1,2,0,2,1,1,0,1,1,10,10,1,1,1,1,1,10,0,2,1,1,4,0,4,0,7
mh4,mh4,50.0,0,0,11,0,0,0,0,0,0,0,12,0,0,12,12,0,0,6,6,0,12,12,0,3,8,0,0,10,0,0
mnh0,mnh0,50.0,2,2,1,9,21,3,3,3,2,2,3,2,2,3,3,2,13,16,13,2,3,3,8,2,2,2,2,2,2,20
mnh1,mnh1,50.0,1,1,31,1,1,2,2,2,1,1,32,1,1,32,32,1,18,22,1,1,32,37,15,1,1,1,28,1,1,1
mnh2,mnh2,50.0,1,1,17,1,1,1,1,2,1,1,1,1,1,1,1,8,4,1,5,8,1,1,1,1,8,13,11,11,11,11
mnh3,mnh3,50.0,1,1,32,1,1,2,1,2,1,1,1,1,1,1,1,22,1,1,18,20,1,1,16,1,22,1,1,1,1,31
mnh4,mnh4,50.0,1,1,27,1,24,4,1,1,1,8,1,1,1,1,1,17,15,1,1,17,29,1,1,5,17,18,19,20,21,1
mnh5,mnh5,50.0,1,1,12,1,1,1,1,1,1,1,1,1,1,14,14,1,1,4,3,1,14,1,1,1,5,6,6,6,6,9
mnh6,mnh6,50.0,1,1,1,1,1,1,1,1,1,5,1,9,1,22,1,1,1,1,1,14,1,1,1,25,16,18,20,18,18,18
mnh7,mnh7,50.0,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,8,1,7,1,1,1,1,2,1,9,11,13,1,1,1
mnh8,mnh8,50.0,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,14,1,1,1,11,22,1,4,1,12,1,1,15,17,1
mnh9,mnh9,50.0,1,16,18,1,1,1,1,1,1,1,21,1,1,1,1,1,5,4,4,12,20,21,1,3,1,15,15,15,15,15
mnh10,mnh10,50.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,13,2,8,2,2,2,2,2,2,16,2,18,19,2,2
mnh11,mnh11,50.0,1,1,26,1,1,3,3,3,1,12,3,1,1,3,3,1,1,1,1,15,30,3,10,1,17,1,1,1,1,19
mnh12,mnh12,50.0,1,1,18,1,1,1,1,1,1,1,1,1,19,21,1,10,1,8,6,1,1,1,2,1,1,13,13,13,13,17
mnh13,mnh13,50.0,2,2,1,2,2,5,2,5,2,16,2,2,2,2,2,2,2,2,2,20,2,2,14,16,2,2,2,22,23,2
mnh14,mnh14,50.0,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,15,1,1,1,9,9,10,1,12
lpsh0,lpsh0,1.0,1,1,1,1,1,1,1/3,1,0,4,1,0,29,1,1,0,7,0,0/8,16,1,1,1,4,18,22,22,22/23,22,24
lpsh1,lpsh1,1.0,1,1,15,1/2/3,1,1,1,1,1,2/4,1,1,16/2,1,1,0/10,6,6,6,8,1,1,1,2,10,1,1,1,1,0
lpsh2,lpsh2,1.0,1,1,17,7,1,4,0/1,1/21/22,7,7,0,25,7,0,0,7/14,7,7,10,12,0,0/20,6,7,7,7,7,15,7/15,16
lpsh3,lpsh3,1.0,0/20,0,25,0,0,0,0,0,0,0/7,0/27,0,0,0,0,13,0/8/9,0,0,0,26,0,0,0,16,17,17/18,17,0,0/19
lpsh4,lpsh4,1.0,0,0,0,0,0,0,0,0/24,0,5,22,0,0,22,22,0,6,0,7,16,22,22,0,2,0,0,0,0,0,0
lpsh5,lpsh5,1.0,0/12,0,0,0,10,1/3,1,1,0,0,1,0,0,0/1,1,7,0,0/6,4,0,13,16/1,1,0,7,0,0,0,0,0
lpsh6,lpsh6,1.0,1,1,1,1,1,1,1/2,1,5,1,1,5,4,1/19,19,1,1,1,1,0,1,25,1,27,0,1,1,16,13,17
lpsh7,lpsh7,1.0,6,6,0,0/11,6,6,6,21,12,13,6,12,12,6,6,12,12,0/12,0/12,12,20,6,6,14,12,12,12,0,12,12
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,1,1,11,1,16,10,3,16,16,13,7,1,1/9,1,16,16,1,1,1,14,14,14,14,15
lpsnh1,lpsnh1,1.0,16,16,1,16,16,16,16,16,16,19,16,16/42,16,16,16,27,21,24,23,16,16,16,16,20,36,16/37,16/37,16/37,16,16
