id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,3,17,1,1,1,3,3,3,17,3,0,0,3,3,0,0,3,3,25,3,3,3,6,6,3,27,3,3,0,28
mh1,mh1,50.0,4,19,1,1,1,1,1,1,1,8,1,0,8,2,0,1,0,2,1,11,2,2,2,2,2,2,2,9,1,20
mh2,mh2,50.0,0,24,1,1,1,1,1,1,1,13,1,19,13,0,1,1,0,0,21,17,0,9,0,0,0,12,12,17,21,21
mh3,mh3,50.0,13,1,0,32,32,1,1,1,1,0,23,23,0,10,23,23,1,15,30,17,5,1,7,7,34,0,38,17,1,1
mh4,mh4,50.0,10,1,1,1,1,1,0,1,1,1,1,1,1,5,1,18,1,5,0,13,1,1,0,0,5,5,5,1,0,1
mnh0,mnh0,50.0,1,19,1,1,1,1,1,1,10,1,1,1,7,3,1,1,1,1,10,1,1,1,1,25,23,1,1,1,10,19
mnh1,mnh1,50.0,13,63,1,1,1,1,19,1,1,3,19,20,3,12,20,28,4,13,21,3,4,9,3,3,3,27,12,3,22,21
mnh2,mnh2,50.0,17,34,1,1,40,1,23,32,1,1,23,23,1,1,23,28,1,1,39,20,1,8,13,13,1,16,45,20,34,34
mnh3,mnh3,50.0,1,35,1,31,33,1,1,1,1,1,1,23,17,1,25,1,6,1,27,18,6,6,1,1,1,1,1,18,27,36
mnh4,mnh4,50.0,20,29,1,1,1,29,1,29,29,1,25,1,1,1,1,25,1,1,32,1,1,1,2,2,2,1,1,1,32,29
mnh5,mnh5,50.0,1,22,1,1,1,1,1,16,1,8,15,1,11,6,1,14,1,1,1,10,4,1,1,1,1,6,6,8,1,1
mnh6,mnh6,50.0,1,1,1,1,1,1,17,1,1,1,1,20,16,1,1,1,1,1,1,13,1,4,5,5,6,10,1,1,1,1
mnh7,mnh7,50.0,10,34,1,30,1,1,1,1,1,11,14,20,1,4,20,14,5,4,28,12,5,8,4,4,35,32,9,12,1,1
mnh8,mnh8,50.0,1,1,1,1,1,1,1,1,1,11,17,1,1,7,21,26,1,1,1,14,1,1,1,1,1,7,7,15,1,27
mnh9,mnh9,50.0,1,14,1,1,1,1,1,1,14,1,12,13,1,1,13,12,8,1,14,1,6,3,1,1,1,16,1,1,14,14
mnh10,mnh10,50.0,4,33,30,1,1,11,1,17,1,5,1,1,1,3,1,1,1,4,27,8,1,1,1,34,1,36,39,8,24,24
mnh11,mnh11,50.0,15,48,1,1,55,29,19,31,32,6,6,21,6,6,22,6,6,6,51,18,11,6,6,6,57,12,12,18,50,48
mnh12,mnh12,50.0,1,24,1,23,1,1,1,1,1,1,16,18,1,1,18,17,1,1,20,13,6,7,8,8,1,11,1,13,22,26
mnh13,mnh13,50.0,18,41,1,1,1,28,1,30,32,1,1,1,1,1,1,1,4,1,34,1,4,8,1,36,1,12,11,1,1,41
mnh14,mnh14,50.0,9,1,1,23,23,1,12,1,21,1,12,14,1,1,17,12,1,1,1,11,3,1,1,24,4,8,1,10,1,1
lpsh0,lpsh0,1.0,6,0,0,0,0/19,0,0,0,0,0/10,14,15,10,0,15,14,0,9,0,11,0/1,0,0,0,0,0,0,11,0,0
lpsh1,lpsh1,1.0,6,22,0,0,0,0,0,0,0,0,0,0,7/10,0,0,0,0,0,0/12,7,0,5,0,0,0,14,0,7,12,17
lpsh2,lpsh2,1.0,9,0,1,1,1,0,0,0,0,0,0,0,0,9,15,0,5,9,20,0,5,6/7,9,9,9,9,9,0,18,23
lpsh3,lpsh3,1.0,8,30/31,0,24,24,0,0,0,0,0,0,0,0,0,0,29,0,10,22/23,16,5,0,0/26,0/27,0,0,0,0,0,0
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,31,1/35,1,1,1,1,1,1,1,40,1,10,1,27/29,1,6,38,38,7,1,1,27,1,1
lpsnh1,lpsnh1,1.0,2,1,1,1,31,1,1,1/29,1/30,1,1,1,1,2,1,1,2,22,1,26,2,2,2,2,11,2,2,1,1,1
lpsnh2,lpsnh2,1.0,2,38,1,31,31,1,24,1/26,1,1,25,25,1,15,25,25,2,16,1,17,2,10,2,2,14,36/15,35,17,1,37
lpsnh3,lpsnh3,1.0,7,1,1,28,28,1,1,1,1,1,13/14,1,1,1,1,1,1,1,19/21,10,2,1/3,1,1,1,5,1,9,1/17/18,1
lpsnh4,lpsnh4,1.0,3,38/40,1,1,1,1,16/1,23,24/26,1,1,1,13,3,20/21,1,3,11,24,1,5,6/9,3,3,35/37,3,3,1,24,38/41
lpsnh5,lpsnh5,1.0,32,51,1,1,1,42,39,42,1,1,39,40,36/38,5,39/40,44,7,5,1,1,7,21,24,24,5,5,28,1,1,1
lpsnh6,lpsnh6,1.0,10,1,1,1,1,1,1,1,1,11,16,20,11,1,1,17,1,1,26/27,13,1,1,1,1,1,1,1,13,1,1
lpsnh7,lpsnh7,1.0,6/7,14,21,1,1,16/1,14,1,1,11,14,15,11,6,15,14,6,9,19,11,6,6,6,25,6,6,26,11,18,1/20/24
lpsnh8,lpsnh8,1.0,2,1/24,1,1/19/20,1/19,1,1/13,17/15,1,8,1,14,8,2,14,1,2,2,18,10,2/5,2,2,2,2,32,2,11/12,18,1
lpsnh9,lpsnh9,1.0,9,46,1,1/34/35,1,30,26,32/31,30,13,25,29,23,3,29,25,3,12,33,21,3/5/6,3/4,52,8,3,3,51,21,30,47
