id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,9,0,0,0,12
mh1,mh1,50.0,1,1,1,1,1,1,1,1,1,1,2,13,16,1,1,1,1,1,2,2,1,2,0,9,14,16,16,1,1,1
mh2,mh2,50.0,0,1,2,0,1,1,33,33,13,13,9,1,1,1,13,1,13,24,9,9,1,11,35,1,1,1,1,17,25,0
mh3,mh3,50.0,1,3,1,3,4,3,3,3,3,10,1,5,0,6,10,12,3,10,1,1,6,1,1,0,6,8,0,3,10,10
mh4,mh4,50.0,29,0,0,0,10,0,0,0,17,0,2,0,13,0,0,0,0,20,2,3,0,3,2,0,12,15,16,0,20,28
mnh0,mnh0,50.0,1,2,2,2,8,2,2,2,8,8,2,12,16,8,8,2,8,24,2,2,8,2,25,9,8,16,16,23,24,8
mnh1,mnh1,50.0,1,3,2,17,3,13,17,17,3,3,1,3,3,3,3,15,11,3,1,1,3,1,20,4,5,9,10,11,3,3
mnh2,mnh2,50.0,1,8,2,8,9,8,8,8,8,8,5,8,8,8,8,8,8,8,5,7,8,7,5,11,8,15,8,8,8,22
mnh3,mnh3,50.0,1,6,1,22,6,21,22,22,6,6,1,9,13,10,19,21,6,16,3,2,6,1,1,8,6,14,13,6,16,6
mnh4,mnh4,50.0,1,1,1,1,1,20,1,1,1,1,1,1,1,4,1,20,1,1,1,2,5,1,1,1,5,1,1,1,1,18
mnh5,mnh5,50.0,1,50,2,59,50,50,59,59,50,50,2,50,50,52,50,50,50,55,4,3,52,3,4,51,52,50,50,50,55,50
mnh6,mnh6,50.0,1,1,1,23,1,1,23,23,1,20,1,1,1,9,18,1,14,18,4,1,1,1,1,6,10,1,13,14,18,20
mnh7,mnh7,50.0,25,1,5,1,1,20,22,22,1,1,1,1,1,1,1,20,16,1,1,3,1,1,1,10,1,15,1,18,1,1
mnh8,mnh8,50.0,51,2,2,2,2,2,48,49,15,43,2,2,2,2,15,46,22,15,5,3,12,3,5,2,2,2,2,24,15,38
mnh9,mnh9,50.0,18,1,6,17,1,1,1,1,1,1,1,1,1,1,1,15,1,1,4,19,1,1,4,1,1,1,1,1,20,1
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,16,1,1,1,2,2,1,2,2,1,1,12,1,1,1,1
mnh11,mnh11,50.0,1,15,1,15,17,21,23,23,17,17,13,17,17,17,17,22,20,17,13,13,17,13,13,19,17,17,17,20,17,17
mnh12,mnh12,50.0,1,3,3,3,3,20,3,3,3,19,10,3,3,3,3,3,3,3,10,10,16,10,10,13,16,18,17,3,3,3
mnh13,mnh13,50.0,1,1,1,20,5,20,20,20,1,1,1,9,10,5,1,21,18,19,1,1,5,1,1,7,5,15,10,18,19,1
mnh14,mnh14,50.0,1,1,1,1,4,1,1,1,4,4,1,4,4,13,22,26,21,24,1,1,14,1,1,10,14,19,4,21,4,4
lpsh0,lpsh0,1.0,1,1,1,1,1,1/22,1,1,12,12,0/4,8,1,1,12,1,13,12,0,0,11,5,0,8,11,1,1,18,12,12
lpsh1,lpsh1,1.0,1,0,1,1,1,1/26,1/31,1/31,21,21,1,1,1,0,21,28/30,21,21,1,1,10,1,1,1,0/8,16,1,24,21,21
lpsh2,lpsh2,1.0,1,1,1,1,1,1,1,1,1,1/24,10,1,1,1,20,26,1,22/23,0,0,1,0/10/12,10,1,1,1,1,1,22/23,1
lpsh3,lpsh3,1.0,1,0/1,0,1,0,0,0/1,0/1,0,0,3,0,0,0,8,0,0,8,3,3,0,3,3,0,0,0,5,0,8,0
lpsh4,lpsh4,1.0,18,0,3,17,0,0,17,17,0,0,3,0,0,0,15,0,0,0,3,3,0,3,4,0,0,0,0/10,12,0,0
lpsh5,lpsh5,1.0,1,1,1/2,1,1,1,1,1,13,0/11,3,8,1,1,11,41,13,35,0,3,1,3,45,0,1,1,1,28,35,38
lpsh6,lpsh6,1.0,22,0,1,0,0,0/17,0,0,0/11,0,1,0,0/10,0,12,19,0,12,1,1,0/9,1,1,4/5,0/8,0,0,0,12,14
lpsh7,lpsh7,1.0,1,1,1,1,1,0,1,1,1,1/12,1,1,1,1,1,14,1,11,1,1,0,1,3,1,5,9,1/8,1,11,12/13
lpsh8,lpsh8,1.0,1,1,1,1,1,1/14,1,1,1,1,5,1,1,1,1,15,1,0,5,5,1,0,1/5,1/6,7,10,1,12,1,1
lpsh9,lpsh9,1.0,1,5,1,5,5,5,5,5,25,25/29,3,5,5,5,25,5,5,25,3,3,11,3,32/3,5,23,5,5,5,25,0
lpsnh0,lpsnh0,1.0,26,1,2,1,9/10,23,1,1,1,22,4,10,10,10,1,23,1,1,4,7,10,4,4,13/15,16/10,19,10,1/21,1,22
lpsnh1,lpsnh1,1.0,1,1,1,1,1,1,1,1,1,16,3,9,1,1,1,1,1,1/14/15,3/6,3,11,3/5,6,1,11,1,1,1/13,1/14/15,16
lpsnh2,lpsnh2,1.0,1,1,1,1,9/10,1,1,1,1,1,2,10,10,10,71,72,70,1,2,2,64,2/5,2,20,64/69,10,10,70,1,1
lpsnh3,lpsnh3,1.0,1,8,1,8,8,8,8,8,8,16,5,8,8,8,8,8,13,8/15,5,5,8,5,5,8,8/10,11,12,13/14,8,8
lpsnh4,lpsnh4,1.0,28,1,1,1,1,22,1,1,1,1/20/21/14,1/3,1,1,1,17/19,22,1,1/14,1,5,1,5,1,9,1,1,1,1,14,20/14
lpsnh5,lpsnh5,1.0,1,1,1/3,37,1,35,37,37,6,6,3,8,8,8,6,35,6,6,3/4,3,1,3,3,16,24,8,8,6,6,33
lpsnh6,lpsnh6,1.0,1,1,1,1,1,1,1,1,1/24,1,3,6/7/12,16,6,30,1,26,1,3,3,14,3,33,10,15,19,23,26,1,1
lpsnh7,lpsnh7,1.0,1,14,1,27/14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,13,13,14,13,13,14,14,20/14,14,14,13/14,24
lpsnh8,lpsnh8,1.0,1,1/3,1,3,7,32/31,39/40,39/40,3,3,1,8,7,7,24/26,37,23,28,1,1,7,1,2,19,7,20/7,22,23,28,3/29
lpsnh9,lpsnh9,1.0,1,1/5,1,1,1,5,1,1,5,5,2,7,1,7,5,5,5,5/12,2,2/4,7,3,2/14,8,7,1,1,5,5/12,5
