id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,13,1,2,1,1,2,1,2,1,1,1,1,1,7,1,1,1,1,0,15,1,1,12,1,1,1,1,1,1,1
mh1,mh1,50.0,0,18,6,4,4,6,26,7,4,4,9,15,15,9,9,9,9,9,21,15,18,18,9,13,9,9,9,15,15,15
mh2,mh2,50.0,15,13,0,0,3,0,3,0,11,0,6,16,0,4,6,4,6,4,14,17,13,13,9,9,4,9,4,17,20,22
mh3,mh3,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,8,1,1,3,3,1,3,4,8,8,8
mh4,mh4,50.0,20,21,0,4,8,0,8,0,17,17,8,19,20,8,8,12,8,8,20,22,20,20,8,8,8,8,16,22,22,22
mnh0,mnh0,50.0,4,4,1,1,4,1,4,3,4,4,4,4,13,7,4,4,4,4,4,14,4,4,4,10,4,12,4,14,14,15
mnh1,mnh1,50.0,33,32,4,2,1,4,44,4,13,13,6,43,17,9,6,10,6,1,34,1,19,19,1,1,1,12,1,1,40,42
mnh2,mnh2,50.0,29,28,3,1,1,3,31,7,25,25,9,1,1,19,9,18,9,18,1,1,28,28,22,22,22,22,24,1,1,1
mnh3,mnh3,50.0,28,25,2,1,1,13,1,2,1,1,16,29,25,17,16,16,16,16,27,25,25,25,16,19,16,21,16,25,25,25
mnh4,mnh4,50.0,1,20,4,1,1,8,1,5,1,1,10,1,1,1,10,13,10,1,1,30,20,27,16,18,1,16,1,30,1,32
mnh5,mnh5,50.0,24,1,1,1,1,1,1,1,20,1,5,30,1,7,1,12,1,10,1,27,1,1,18,10,10,10,10,27,27,27
mnh6,mnh6,50.0,14,4,1,2,4,1,4,1,11,8,4,16,4,4,4,4,6,4,14,16,4,4,4,4,4,4,7,16,16,16
mnh7,mnh7,50.0,26,19,1,4,1,1,1,1,1,17,7,1,1,1,9,1,7,1,26,1,19,22,1,1,13,15,1,1,1,1
mnh8,mnh8,50.0,1,9,1,1,1,1,1,1,1,1,2,16,7,4,2,1,2,1,1,13,9,9,1,1,1,1,1,13,13,13
mnh9,mnh9,50.0,17,16,1,2,1,1,1,1,1,1,1,1,13,1,1,4,1,7,1,1,16,16,7,7,7,7,7,1,23,1
mnh10,mnh10,50.0,22,16,1,1,1,1,1,1,14,1,4,1,1,1,1,5,1,11,19,1,1,16,5,5,5,10,11,1,1,1
mnh11,mnh11,50.0,16,16,1,1,1,1,1,1,1,1,11,18,16,1,8,1,8,1,16,16,16,16,1,1,1,14,1,16,16,16
mnh12,mnh12,50.0,1,1,1,1,1,5,1,1,1,1,1,11,1,1,1,1,1,9,1,1,1,1,1,8,7,1,1,1,1,1
mnh13,mnh13,50.0,1,12,1,1,1,1,1,2,1,1,1,1,11,1,1,6,1,5,1,1,1,1,5,8,5,5,5,1,1,1
mnh14,mnh14,50.0,24,21,1,1,1,1,1,1,1,1,1,1,14,1,2,1,2,1,24,1,21,21,1,9,1,1,12,1,1,1
lpsh0,lpsh0,1.0,11,12,1,1,1,0,1/11,1,1,1,1,1/11,11,7,4,6,4,4,11,16,12,12,4,4,4,4,4,16,16,16
lpsh1,lpsh1,1.0,3/13,11,1,1,3,0/2,3,1,3,3,3,3/14,3,3,3,5,4,3,3,0,3,10,3/7,3/7,6,3,8,0,0,0
lpsnh0,lpsnh0,1.0,21,30,1,1,7,1,21/22,3,21,21,7,21,25,7,7,7,7,16,21,21/31,29,29,16/17/18,19,16,16,16,32/21/31,21/31,33/21
lpsnh1,lpsnh1,1.0,28,26,5,2,12,6,12,5,12,23/12,15,23,23,12,16,12,16,20,28,23,23,26,19,21,17,17/19/21,20,23,23,23
lpsnh2,lpsnh2,1.0,14,11/12,1,1,1,1,1,1,1/9,1,3,1,1,1,3,4,3,1/7,14,1,1,1,6,1,1/5,1,1/8,1,17,16
lpsnh3,lpsnh3,1.0,22,8,5/6,2,8,5,8,5,8,8,9,8,8,8,9/11/12,8,11,8,22/23,8,8,8,18/19,18,16,18,8,8,8,8
lpsnh4,lpsnh4,1.0,19,15,1,2,1,1,1,1,1,1/12,4,20,15,1,4,1/5,4,1,19,20,15,15,1,9,1,1,1,21/22,20,20
lpsnh5,lpsnh5,1.0,47,37,1,1,1,1,2,1,2,2,2,50,2,2/20,3,2,17,29/30,31,49,37,37,29,29,29,29,29,49,2,2
