id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,0,0,0,0,34,0,3,1,0,0,0,35,12,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,35
mh1,mh1,50.0,27,1,2,2,1,9,2,2,2,2,12,1,25,2,7,7,0,25,7,1,7,20,2,2,3,5,0,26,25,29
mh2,mh2,50.0,1,20,0,18,24,18,0,0,0,0,18,39,18,0,18,18,18,18,18,35,18,18,11,0,14,0,18,18,18,35
mh3,mh3,50.0,1,1,2,2,1,2,17,7,7,7,23,1,2,7,2,2,2,2,2,1,2,24,14,16,0,5,2,2,2,1
mh4,mh4,50.0,1,26,0,3,1,20,5,5,5,12,0,29,25,13,21,20,20,25,0,29,20,20,5,8,14,14,20,25,25,29
mnh0,mnh0,50.0,1,25,1,24,29,14,6,1,1,5,14,32,8,1,14,14,8,22,14,32,14,8,1,1,1,1,19,22,8,32
mnh1,mnh1,50.0,1,31,2,20,1,22,15,11,8,14,20,1,20,2,20,20,20,20,24,1,20,20,2,13,2,18,28,20,20,1
mnh2,mnh2,50.0,1,1,1,1,16,1,1,2,1,1,3,19,1,1,4,6,1,1,4,18,9,1,1,1,1,1,11,1,15,16
mnh3,mnh3,50.0,1,1,4,4,1,4,4,4,4,14,4,31,17,4,4,4,21,24,4,31,4,18,4,13,4,4,17,24,17,31
mnh4,mnh4,50.0,30,1,1,1,60,1,5,11,11,11,1,60,19,11,1,18,20,23,1,60,1,22,10,11,14,14,20,23,25,60
mnh5,mnh5,50.0,1,1,1,12,38,14,8,5,2,2,14,42,12,6,14,14,22,12,14,42,20,22,2,2,9,9,31,12,12,42
mnh6,mnh6,50.0,1,1,1,1,39,21,14,9,11,9,21,41,35,9,21,26,1,35,21,41,31,1,4,9,17,20,1,36,35,41
mnh7,mnh7,50.0,1,1,8,8,22,10,7,1,1,1,10,22,8,6,10,10,8,8,10,22,13,19,1,1,1,1,8,8,8,22
mnh8,mnh8,50.0,1,1,1,1,38,1,2,2,2,2,1,38,1,2,1,18,24,25,16,38,19,1,9,2,2,2,1,25,1,38
mnh9,mnh9,50.0,40,39,3,3,43,17,3,3,7,3,17,54,3,3,17,17,29,37,17,54,17,24,3,3,12,13,3,38,3,54
mnh10,mnh10,50.0,1,1,2,2,1,2,4,12,12,12,2,25,2,14,2,17,19,2,2,26,2,19,12,12,4,4,19,21,2,25
mnh11,mnh11,50.0,31,1,1,14,37,15,10,4,4,8,15,37,29,4,15,15,15,15,15,37,15,25,7,8,11,11,15,28,15,40
mnh12,mnh12,50.0,1,1,1,1,22,1,1,7,3,3,1,24,1,3,1,1,1,1,1,24,1,18,4,3,16,16,1,1,21,24
mnh13,mnh13,50.0,1,1,1,1,36,1,1,9,1,1,1,37,1,1,1,16,1,1,1,37,16,25,7,1,1,11,1,1,1,37
mnh14,mnh14,50.0,1,1,1,1,22,1,11,3,4,10,14,22,1,3,1,1,19,1,1,22,16,1,3,9,1,1,1,20,1,22
lpsh0,lpsh0,1.0,0,0,0,0,0,0,7,0,0,2,9/10,0,0,2,11,12,0,20,0/9,21,0,15,2,2,8,8,0,20,0,0
lpsh1,lpsh1,1.0,0,20,1,6,0/21,7,0,0,0,0,0,0/22,13,0,0,7/8/9,7,13,0,0,7,0/12,0/2,4,0,0,7,13,15,0
lpsh2,lpsh2,1.0,0,0,1,8,18,8,5,1,1,1,0,18,14,1,8,8,12,8,8,24,10/11,13,1,1,1,6,12,8,8,25
lpsh3,lpsh3,1.0,1,1,2,2/12,30,14,2,2,2,0/5,12,32,0/22/25,0,14,13,12,18,14,32,16/13,12,2,5,9,9,12,18/20,19,34
lpsnh0,lpsnh0,1.0,1,1,1,1,40,1,1,1/4,1,1,1,40,17/23,1/7,1,14,1,23,1,40,16,22,1,5,9/10,9/10,1,23,17,40
lpsnh1,lpsnh1,1.0,1,1,1,1/36,1,1/22,18,12,15,12,1,1,33,12,1,1,1,33,25,1,26,1,12/13,16,19/20,19,28/30/31,33,33,1
lpsnh2,lpsnh2,1.0,1,1,1,43,1,13,1,1,1,1,13,44,41,1/5,14,17,30,37,14,44/45,18,32,3,1,1,1,30,38,30,44
lpsnh3,lpsnh3,1.0,1,1,2,2,1,2,3,3,3,3,2,1,12,3,14,2,12,12,14,1/26,2,12,4,3,11,9,12,22,23,1
lpsnh4,lpsnh4,1.0,1,1,1,20,1,22/23,10,10/14,10,13,21,1,20,10,25,21/26,28,20,25,1/31,27,28,11,10/13/15,10,16/17/18/10,28,20,20/30,32/33/34
lpsnh5,lpsnh5,1.0,1,1,1/25,1,1,1,10/13,10,10,10,1/19/20,1,1,12,1,1,1,1,1,1,1,21/22,10,11,15,15,1,24,1,1
lpsnh6,lpsnh6,1.0,1,1,1,1,26,1,1,1,1,5,7,26,24,1,7,10,1,15,7,26,9,1,1,1,1,1,13,21,24,26
lpsnh7,lpsnh7,1.0,1,1,1,31,32,1,1,1,1,8,1/19,32,28,12/13,1,1,23,23,1/20,32,1/21,23,7,8/9,1,15,23/24,23,29,37/39
lpsnh8,lpsnh8,1.0,1,1,1,1,26,17,1,1,1,1,14,26/31,25,8,18/14,14,22,25,18/14,26,21,22,5,1,13,13,22,25,25,26
lpsnh9,lpsnh9,1.0,1,1,1,1,1,1/10,7,2,2,3,9,1/29,23,3,9/12,14,1,1,9/12/13,1,16,1/21,2,4,2,2,1/19,1,24,1
lpsnh10,lpsnh10,1.0,1,1,30,1,1,10,1,1,1,1,1,1,29,1,1,13,1,1,1,33,13,18,7,1,1/9,1,16,25,29,109
lpsnh11,lpsnh11,1.0,1,1,4,4,1,7,4,4,4,4,7,1,7,4,8,7,9,7,7,15,7,9/14,5,4,4,4/6,11/13,7,7,1
lpsnh12,lpsnh12,1.0,1,1,1/11,12,1,12,1,2,1,2,12,29,18,1,12,12,20/22,18,17/15,30,12,20,1,7,10,10,20,18,18,29
