id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,13,1,1,1,1,11,1,15,1,8,8,1,0,0
mh1,mh1,50.0,14,1,1,0,1,1,1,1,1,3,3,1,5,3,3,1,0,0,8,0,8,0,8,0,0,0,0,8,16,15
mh2,mh2,50.0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
mh3,mh3,50.0,1,1,1,1,3,3,3,3,3,1,1,6,3,1,1,3,3,11,3,11,12,3,12,3,11,3,3,12,3,3
mh4,mh4,50.0,1,1,1,1,1,1,1,1,5,1,1,1,1,1,0,1,1,1,1,1,1,0,1,6,1,6,6,1,1,9
mnh0,mnh0,50.0,21,1,1,1,10,10,10,10,8,2,2,10,10,2,2,20,8,8,8,8,8,8,8,8,19,16,8,8,24,20
mnh1,mnh1,50.0,1,1,4,4,6,6,6,12,6,1,3,9,21,1,1,20,6,6,6,6,19,6,19,6,6,13,6,19,22,20
mnh2,mnh2,50.0,1,1,1,1,1,1,1,7,1,3,3,10,7,3,3,26,1,22,1,22,17,14,17,14,22,14,15,21,26,26
mnh3,mnh3,50.0,1,1,1,11,1,1,1,1,1,6,6,15,22,6,6,27,23,23,23,23,23,23,23,23,25,24,24,23,1,31
mnh4,mnh4,50.0,19,1,8,10,11,11,11,11,14,6,6,11,11,6,6,21,14,14,14,14,15,14,15,14,14,14,14,15,11,27
mnh5,mnh5,50.0,1,1,1,1,1,18,18,1,1,3,4,1,1,4,4,1,1,1,1,1,1,1,1,22,1,7,13,1,1,27
mnh6,mnh6,50.0,1,3,1,1,1,1,1,1,6,1,1,1,1,1,1,4,6,6,6,6,6,7,6,7,6,7,9,6,4,4
mnh7,mnh7,50.0,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,8,8,8,8,8,10,8,10,8,14,10,8,1,1
mnh8,mnh8,50.0,1,2,2,2,10,10,10,10,12,4,4,10,11,4,4,21,14,19,10,19,10,16,10,14,19,14,15,18,21,21
mnh9,mnh9,50.0,1,1,1,1,1,1,1,1,8,2,2,1,28,3,4,1,8,8,8,8,8,10,8,10,24,15,18,8,1,40
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,1,14,14,17,1,14,14,1,1,28,1,1,26,1,26,33,1,1,23,26,30,30
