id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,2,22,1,2,0,15,15,0,7,0,15,1,15,15,0,15,0,0,13,15,20,15,18,17,17,15,15,0
mh1,mh1,50.0,0,0,0,0,0,0,0,8,8,0,2,16,7,6,8,7,0,8,0,0,4,7,7,7,12,8,8,8,13,0
mh2,mh2,50.0,1,1,1,1,5,1,1,0,0,1,5,1,27,5,0,28,1,0,1,1,10,29,0,0,18,0,0,0,0,1
mh3,mh3,50.0,2,1,1,1,3,1,1,3,3,1,3,1,3,3,11,3,1,12,15,15,3,3,3,0,3,3,3,0,11,0
mh4,mh4,50.0,1,1,1,1,3,1,1,1,1,16,3,15,1,1,1,1,17,1,16,16,3,1,10,1,1,1,1,1,8,16
mnh0,mnh0,50.0,2,1,1,17,1,1,16,1,1,16,1,16,1,1,1,1,16,1,16,16,1,1,13,10,5,5,5,1,1,16
mnh1,mnh1,50.0,1,1,1,14,1,4,1,9,9,15,1,1,13,1,9,1,18,9,18,18,8,1,1,1,11,11,11,9,9,15
mnh2,mnh2,50.0,1,1,3,1,1,3,20,12,12,28,1,1,13,1,12,13,31,12,31,31,10,35,13,13,12,12,12,12,12,28
mnh3,mnh3,50.0,1,4,7,29,15,11,1,16,16,1,15,1,21,13,16,22,1,16,1,1,15,24,28,26,17,19,16,16,16,1
mnh4,mnh4,50.0,1,2,8,1,13,11,31,13,13,38,13,30,13,13,13,13,38,13,38,38,19,23,27,25,13,13,13,40,13,39
mnh5,mnh5,50.0,4,1,3,41,7,1,6,26,7,6,7,45,30,12,7,34,6,7,6,6,10,50,7,38,7,19,7,20,23,6
mnh6,mnh6,50.0,1,1,1,16,3,1,24,8,3,1,5,22,3,3,6,10,1,6,30,1,5,10,15,12,7,6,6,6,6,29
mnh7,mnh7,50.0,1,1,4,1,1,4,1,9,10,1,1,18,11,1,9,11,21,9,21,21,1,11,11,11,9,9,9,9,9,19
mnh8,mnh8,50.0,4,1,2,1,1,2,1,1,1,1,6,23,17,7,8,15,24,8,26,25,6,15,1,15,8,9,8,8,13,1
mnh9,mnh9,50.0,1,1,4,33,9,6,1,1,1,1,9,1,19,14,15,1,1,15,1,1,12,23,1,28,16,15,15,15,15,36
mnh10,mnh10,50.0,1,1,1,3,5,2,31,11,11,31,6,31,19,3,11,19,33,15,31,31,9,36,28,24,13,11,11,11,11,31
mnh11,mnh11,50.0,1,1,11,1,17,11,1,16,16,26,17,1,16,16,21,16,27,21,27,27,17,16,16,16,16,20,16,16,21,26
mnh12,mnh12,50.0,1,1,1,33,1,4,34,1,1,35,5,34,1,7,16,31,36,16,35,38,5,30,1,30,11,1,1,1,24,35
mnh13,mnh13,50.0,1,1,1,27,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,16,21,22,1,1,1,1,1,1,1
mnh14,mnh14,50.0,1,1,2,44,6,1,6,15,15,49,6,48,6,6,15,22,49,15,55,57,11,27,39,6,17,17,17,15,15,54
lpsh0,lpsh0,1.0,1,1,1,1,0,1,0,0,0,0,0,0/15,13,0,0,0,24,0/9,24,24/25,4,0,14,0,8,0,0,0,0,20
lpsh1,lpsh1,1.0,0,0,0,44,0,2,46,0,0,46,4,0,31,0,0,0,46,0,46,46,4,0,0,38,8,0,0,0,29,49
lpsh2,lpsh2,1.0,0,0,0,0/22,0/6,4,0,15,15,29,0,27,15,11,17,18,29,17/15,29,29/30,0,0/18,0/20,18,15,16,16/15,15,17/15,0
lpsh3,lpsh3,1.0,1,1,1,26,1,1,1,9,9,1/27,4/5,1,15,8,10/14,18/20,1/28,13,1,1,4/6,21,15,23,10,10,10,10,10,27
lpsh4,lpsh4,1.0,1,1,0/2,1,1,1,1,10,10,23,0,21,14,7,10,16/17,23,10,23/24,23/24,0,10,20,18,10,10,10,10,13,23
lpsh5,lpsh5,1.0,1,1,1,1,3/4,2,31,3,3,1,3,1,3,13,21,23,41,3,1,1,8,47,30,25,3,18,3/20,3,3/21,35
lpsnh0,lpsnh0,1.0,1,1,2,4,10/11,2,4,10,10,4/29,12,4,10,17,10,24,30/31,10,32,32,12,10,25,10,10,10,10,10,23/10,4
lpsnh1,lpsnh1,1.0,1,1,5,1,1,5,1,1,1,1,8,1/27,1,11,1,1,1/29,1,1,1,8,1,23,1,16,1,1,18,1,1
lpsnh2,lpsnh2,1.0,1/4,1,1,1,7,3,19,7,7,14,7,16,7,7,7,7,20/14,7,20,22,7,7,7,7,11,7,7,7,7,14
lpsnh3,lpsnh3,1.0,1/8,1,1,1,11,4/5/7,1,1,1/12,1,1,1,1,1,1,1,1,1,1,1,1,37,1,39,22/23,14,14,1,1/26,43
lpsnh4,lpsnh4,1.0,1,3/5,4,1,1,3,1,1,1,20,7,1/17,1,1,1,1,20,1,20,20,9,1,1,1/14,1,13,1,1,1,23
lpsnh5,lpsnh5,1.0,1/2,1,1,3,3,1,1,22,22,1,13,1,36,21,30,36,1,30,1,1,17,36,38,36,30,30,30,30,30,1
lpsnh6,lpsnh6,1.0,1,1,2,1,9,1,32/29,14,14,33,9,29/30/31,14,9,15,14,33,15,33,33,9,14,28,26,15,15,18,15,15,36
lpsnh7,lpsnh7,1.0,5,1/2,2,1,9,2,27/29,7,7,1,10,1,7,13,16,7/23,1,16/21,1,1/33,10,7,7,24,18,16,16,15,22,1
lpsnh8,lpsnh8,1.0,1,1,2,24,4,2,3,11,11,3,4/5/6,3,4,7,11,18/4,3,11,3/29,29,4,4,4,21,11,13,11/12,15,11,28
